Serial No,Book Page,Topic,Question,Option A,Option B,Option C,Option D,Option E,Correct Answer,Explanation
127,21,General Agriculture,Which was the first transgenic crop ever developed?,Bt. Tobacco,Flavr Savr Tomato,Bt. Cotton,DMH-11 Mustard,None of these,A,"Bt. Tobacco was the first transgenic crop, developed in 1987."
128,21,General Agriculture,Which country holds the first position in the world for transgenic plants?,Brazil,USA,Argentina,India,None of these,B,The USA holds the first position in the world for transgenic plants.
129,21,General Agriculture,Which gene is responsible for imparting resistance against bollworm complex in Bt cotton varieties?,Cry2Ab,Cry1AC,Cry1Ab,Cry3Bb,None of these,B,The 'cry1AC' gene is responsible for imparting resistance against bollworm complex in Bt cotton varieties.
130,21,General Agriculture,Which institution developed the country's first genetically modified (Bt) varieties of cotton that could be reused by farmers?,Mahyco,"Punjab Agricultural University, Ludhiana",SKRAU-Bikaner,Monsanto,None of these,B,"Punjab Agricultural University, Ludhiana developed the country's first genetically modified (Bt) varieties of cotton that could be reused by farmers."
131,21,General Agriculture,What is the rank of India in the world for transgenic crops as of 2023?,First,Second,Third,Fifth,None of these,D,India ranks fifth in the world for transgenic crops as of 2023.
132,21,General Agriculture,Which company developed the glyphosate-resistant mustard variety Dhara Mustard Hybrid-11 (DMH-11)?,Mahyco,Monsanto,Pro-Agro Seed Company Ltd.,Punjab Agricultural University,None of these,C,Pro-Agro Seed Company Ltd. developed the glyphosate-resistant mustard variety Dhara Mustard Hybrid-11 (DMH-11).
133,21,General Agriculture,What was the total area under transgenic crops in the world in 1996?,1.7 mha,17 mha,170 mha,270 mha,None of these,A,The total area under transgenic crops in the world in 1996 was 1.7 mha.
134,22,General Agriculture,Who is known as the father of Golden Rice?,Ingo Potrikus,Peter Beyer,Dr. Gurdev Singh Khush,Prof. Long Ping Yuan,None of these,A,"Ingo Potrikus is known as the father of Golden Rice because he, along with Peter Beyer, engineered Golden Rice in the 1990s to prevent Vitamin-A deficiency in humans."
135,22,General Agriculture,Which institution developed the first hybrid rice variety in India?,IRRI,"TNAU, Coimbatore",IARI,DRMR,None of these,B,"The first hybrid rice variety in India, MGR-1 (earlier named as CoRH-1), was developed by TNAU, Coimbatore."
136,22,General Agriculture,Who developed the first hybrid mustard variety in India?,"TNAU, Coimbatore",IARI,DRMR,Delhi University,None of these,C,"The first hybrid mustard variety in India, NRC-HB-506, was developed by DRMR (Directorate of Rapeseed and Mustard Research)."
137,22,General Agriculture,What is the expected yield increase percentage for Super Wheat?,10-15%,15-20%,20-25%,25-30%,None of these,B,Super Wheat was expected to have a yield increase of 15-20%.
138,22,General Agriculture,Who coined the term 'Green Revolution'?,Dr. M S. Swaminathan,William S. Gaud,Ingo Potrikus,Prof. Long Ping Yuan,None of these,B,"The term 'Green Revolution' was coined by William S. Gaud in 1968 to describe productivity-based improvements in food production, particularly in wheat and rice."
139,22,General Agriculture,What is the main focus of the Ever Green Revolution?,High yielding varieties,Use of chemical fertilizers,Sustainable methods of crop intensification and diversification,Plant protection chemicals,None of these,C,The Ever Green Revolution focuses on sustainable methods of crop intensification and diversification.
140,22,General Agriculture,What is the primary goal of Vertical Revolution in Agriculture?,Increasing the variety of crops,Maximizing production per unit land area per unit of time,Reducing the use of chemical fertilizers,Developing genetically modified crops,None of these,B,The primary goal of Vertical Revolution in Agriculture is to maximize production per unit land area per unit of time using intensive cropping systems and improved management practices.
141,23,General Agriculture,Which revolution is associated with fish production?,White Revolution,Blue Revolution,Brown Revolution,Yellow Revolution,None of these,B,"The Blue Revolution focuses on increasing fish production, as listed in the table of other agricultural revolutions."
142,23,General Agriculture,India's share in world livestock is what percentage?,15%,17.5%,4%,2.4%,None of these,A,The source states that India's share in world livestock is 15%.
143,23,General Agriculture,In which commodity does India hold the first position globally?,Wheat,Mango,Rice,Cotton,None of these,B,India ranks first in mango production among the listed first‑position items.
144,23,General Agriculture,"The ""Prabhani kranti"" refers to a variety of which vegetable?",Tomato,Okra,Onion,Prawn,None of these,B,The source notes that Prabhani kranti is a variety of okra.
145,23,General Agriculture,The Golden fibre revolution aims to boost production of which crop?,Jute,Cotton,Fruit,Honey,None of these,A,Golden fibre revolution is linked to jute production as per the table.
146,23,General Agriculture,Which revolution is linked to biofuel and Jatropha production?,Black Revolution,Red Revolution,Pink Revolution,White Revolution,None of these,A,The Black Revolution focuses on biofuel and Jatropha production.
147,23,General Agriculture,Identify the incorrectly matched revolution–product pair.,White Revolution – Milk Production,Yellow Revolution – Oilseeds (mustard),Silver Revolution – Egg production,Brown Revolution – Fish Production,None of these,D,"Brown Revolution is associated with food processing/leather, not fish production; the other pairs are correct."
148,24,General Agriculture,"In India, natural rubber accounts for what share of production?",8.5%,10%,12%,15%,None of these,A,"Natural rubber production in India constitutes 8.5% of total rubber output, as stated in the source."
149,24,General Agriculture,"In 2020, India ranked what position in coffee production?",1st,3rd,5th,7th,None of these,D,The source indicates India was seventh in coffee production in 2020.
150,24,General Agriculture,Which commodity is the second highest export commodity in India?,Rice,Cashew,Wheat,Tea,None of these,B,Export commodities are listed as Rice > Cashew > Wheat > Tea > Tobacco; Cashew is second.
151,24,General Agriculture,Which commodity is the third highest import commodity in India?,Vegetable oil,Cashew,Pulses,Fruits,None of these,C,Import commodities are listed as Vegetable oil > Cashew > Pulses > Fruits; Pulses is third.
152,24,General Agriculture,Which crop was the focus of the UN International Year in 2008?,Rice,Potato,Water,Forest,None of these,B,The source lists 2008 as the International Year of Potato.
153,24,General Agriculture,"In 2016, the UN International Year focused on which of the following?",Soil,Pulses,Forest,Biodiversity,None of these,B,2016 is listed as the International Year of Pulses.
154,24,General Agriculture,The UN International Year of 2023 celebrated which crop?,Millets,Rice,Potatoes,Pulses,None of these,A,2023 is noted as the International Year of Millets.
155,25,General Agriculture,Which day is celebrated as World Food Day?,16th October,16th September,4th December,5th December,None of these,A,World Food Day is celebrated on 16th October as per the list of important days related to agriculture.
156,25,General Agriculture,What is the objective of the Kisan Credit Card Scheme (KCCs)?,To provide agricultural information to the farming community through toll-free telephone lines,To provide crop loans to farmers at a reduced interest rate,To celebrate the birth day of Choudhary Charan Singh,To promote forestry and environmental conservation,None of these,B,"The Kisan Credit Card Scheme (KCCs) aims to provide crop loans to farmers at a reduced interest rate, with additional interest subvention for timely repayment."
157,25,General Agriculture,When was the Kisan Call Centre scheme launched?,1998,January 2004,2009,2010,None of these,B,The Kisan Call Centre scheme was launched in January 2004 to provide agricultural information to the farming community through toll-free telephone lines.
158,25,General Agriculture,What is the effective rate of interest for farmers who repay their short-term crop loan on time under the Kisan Credit Card Scheme?,7 per cent per annum,4 per cent per annum,3 per cent per annum,1 per cent per annum,None of these,B,The effective rate of interest for farmers who repay their short-term crop loan on time under the Kisan Credit Card Scheme is 4 per cent per annum due to an additional 3 per cent interest subvention.
159,25,General Agriculture,Which day is celebrated as World Soil Day?,16th September,4th December,5th December,16th October,None of these,C,World Soil Day is celebrated on 5th December as per the list of important days related to agriculture.
160,25,General Agriculture,What is the common toll-free number for the Kisan Call Centre?,1800-180-1551,1800-110-1551,1800-180-1550,1800-110-1550,None of these,A,"The common toll-free number for the Kisan Call Centre is 1800-180-1551, which is allocated country-wide."
161,25,General Agriculture,Which day is celebrated as World Forestry Day?,21st March,5th June,11th July,16th July,None of these,A,World Forestry Day is celebrated on 21st March as per the list of important days related to agriculture.
162,26,General Agriculture,"Which scheme was implemented to enhance the production of rice, wheat, and pulses by specific amounts by the end of the Eleventh Plan?",National Food Security Mission (NFSM),Rashtriya Krishi Vikas Yojana (RKVY),National Horticulture Mission (NHM),"Integrated Scheme of Oilseeds, Pulses, Oil Palm and Maize (ISOPOM)",None of these,A,"The National Food Security Mission (NFSM) was specifically implemented to enhance the production of rice, wheat, and pulses by 10 mt, 8 mt, and 2 mt, respectively, by the end of the Eleventh Plan."
163,26,General Agriculture,"Which mission aims to promote the holistic growth of the bamboo sector by adopting an area-based, regionally differentiated strategy?",National Bamboo Mission (NBM),National Horticulture Mission (NHM),Agricultural Technology Management Agency (ATMA),Rashtriya Krishi Vikas Yojana (RKVY),None of these,A,"The National Bamboo Mission (NBM) aims to promote the holistic growth of the bamboo sector by adopting an area-based, regionally differentiated strategy."
